"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,147,,Nyadi Hydropower Limited,,71,,317.00,,309.00,,309.00,,2505.00,,777519.80,,315.00,,-6.00,
,148,,Oriental Hotels Limited,,10,,477.90,,459.10,,459.10,,574.00,,268007.50,,475.00,,-15.90,
,149,,Panchakanya Mai Hydropower Ltd,,26,,224.00,,216.20,,216.70,,2971.00,,646805.00,,225.00,,-8.30,
,150,,Panchthar Power Compant Limited,,58,,324.00,,312.10,,315.00,,6386.00,,2023799.10,,321.90,,-6.90,
,151,,Pokhara Finance Ltd.,,81,,370.00,,348.00,,356.00,,7565.00,,2691825.40,,364.00,,-8.00,
,152,,Prabhu  Bank Limited,,180,,208.00,,204.10,,204.50,,25427.00,,5214867.50,,206.00,,-1.50,
,153,,Prabhu Select Fund,,21,,8.00,,7.78,,7.87,,38900.00,,303917.00,,7.90,,-0.03,
,154,,Prime Commercial Bank Ltd.,,382,,236.90,,232.60,,235.00,,46615.00,,10901771.70,,236.80,,-1.80,
,155,,Progressive Finance Limited,,70,,301.80,,288.00,,288.00,,6840.00,,1985238.80,,296.00,,-8.00,
,156,,Prudential Insurance Co. Ltd.,,34,,367.00,,358.00,,362.00,,3798.00,,1372855.70,,365.00,,-3.00,
,157,,Radhi Bidyut Company Ltd,,204,,290.00,,275.00,,278.90,,18110.00,,5044534.30,,286.00,,-7.10,
,158,,Rapti Hydro And General Construction Limited,,5357,,350.90,,319.00,,322.10,,97653.00,,32789341.30,,0.00,,3.10,
,159,,Rastra Utthan Laghubitta Sanstha Limited,,56,,1055.00,,1038.70,,1038.70,,1004.00,,1049801.00,,1051.00,,-12.30,
,160,,Rastriya Beema Company Limited,,7,,14075.00,,13850.00,,13990.00,,70.00,,977630.00,,13907.00,,83.00,
,161,,Rastriya Beema Company Limited Promoter Share,,12,,11559.80,,11329.00,,11398.00,,210.00,,2413796.00,,11333.20,,64.80,
,162,,RASUWAGADHI HYDROPOWER COMPANY LIMITED,,78,,247.20,,242.10,,242.50,,11345.00,,2775413.00,,247.00,,-4.50,
,163,,RBB Mutual Fund 1,,14,,7.90,,7.75,,7.75,,7702.00,,60027.40,,7.60,,0.15,
